2021-06-05 16:22:15 - TextLog: INFO: TShock 4.5.3.0 (Blood Moon edition) now running.
2021-06-05 16:22:15 - TShock: INFO: AutoSave Enabled
2021-06-05 16:22:15 - TShock: INFO: Backups Disabled
2021-06-05 16:22:15 - TShock: INFO: Welcome to TShock for Terraria!
2021-06-05 16:22:15 - TShock: INFO: TShock comes with no warranty & is free software.
2021-06-05 16:22:15 - TShock: INFO: You can modify & distribute it under the terms of the GNU GPLv3.
2021-06-05 16:24:29 - TextLog: VERBOSE: GetDataHandlers / HandlePlayerBuffList handled event and sent data Niki
2021-06-05 16:24:29 - GetDataHandlers: INFO: Niki authenticated successfully as user Niki.
2021-06-05 16:24:31 - TextLog: INFO: Niki (171.7.221.249) from 'owner' group joined. (1/8)
2021-06-05 16:24:31 - Utils: INFO: Broadcast: Niki has joined.
2021-06-05 16:24:32 - TextLog: VERBOSE: Bouncer / OnPlayerBuff rejected hostile/pvp from Niki
2021-06-05 16:24:32 - TextLog: VERBOSE: Bouncer / OnPlayerBuff rejected hostile/pvp from Niki
2021-06-05 16:24:32 - TextLog: VERBOSE: Bouncer / OnPlayerBuff rejected hostile/pvp from Niki
2021-06-05 16:24:32 - TextLog: VERBOSE: GetDataHandlers / HandlePlayerBuffList handled event and sent data Niki
2021-06-05 16:25:22 - TextLog: VERBOSE: GetDataHandlers / HandlePlayerBuffList handled event and sent data Niki
2021-06-05 16:25:57 - TextLog: VERBOSE: Rangecheck failed for Niki (4202, 448) (rg: 92/32, 27/32)
2021-06-05 16:25:57 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:25:57 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 92/32, 27/32)
2021-06-05 16:25:57 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:25:57 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 92/32, 27/32)
2021-06-05 16:25:57 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:25:57 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 92/32, 27/32)
2021-06-05 16:25:57 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:25:57 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 92/32, 27/32)
2021-06-05 16:25:57 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:26:17 - TextLog: VERBOSE: Rangecheck failed for Niki (4202, 448) (rg: 93/32, 27/32)
2021-06-05 16:26:17 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:26:17 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 92/32, 27/32)
2021-06-05 16:26:17 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:26:17 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 93/32, 27/32)
2021-06-05 16:26:17 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:26:17 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 92/32, 27/32)
2021-06-05 16:26:17 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:26:17 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 92/32, 27/32)
2021-06-05 16:26:17 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:27:07 - TextLog: VERBOSE: Rangecheck failed for Niki (4302, 456) (rg: 97/32, 22/32)
2021-06-05 16:27:07 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:27:08 - TextLog: VERBOSE: Rangecheck failed for Niki (4304, 456) (rg: 97/32, 22/32)
2021-06-05 16:27:08 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:27:08 - TextLog: VERBOSE: Rangecheck failed for Niki (4300, 460) (rg: 101/32, 18/32)
2021-06-05 16:27:08 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:27:08 - TextLog: VERBOSE: Rangecheck failed for Niki (4301, 460) (rg: 101/32, 18/32)
2021-06-05 16:27:08 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:28:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4246, 448) (rg: 42/32, 27/32)
2021-06-05 16:28:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:28:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4245, 447) (rg: 43/32, 28/32)
2021-06-05 16:28:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from dupe range check from Niki
2021-06-05 16:28:44 - TextLog: VERBOSE: Rangecheck failed for Niki (4246, 448) (rg: 48/32, 27/32)
2021-06-05 16:28:44 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:28:45 - TextLog: VERBOSE: Rangecheck failed for Niki (4202, 448) (rg: 92/32, 27/32)
2021-06-05 16:28:45 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:28:45 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 92/32, 27/32)
2021-06-05 16:28:45 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:28:45 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 92/32, 27/32)
2021-06-05 16:28:45 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:28:45 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 92/32, 27/32)
2021-06-05 16:28:45 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:28:45 - TextLog: VERBOSE: Rangecheck failed for Niki (4246, 448) (rg: 51/32, 27/32)
